# density profiles from  M. Dziewonski and D. L. Anderson, Preliminary reference earth model, Phys. Earth Planet. Interiors 25 (1981) 297–356.
r_vec	rho_tot	16O	28Si	27Al	56Fe	40Ca	23Na	39K	24Mg	48Ti	58Ni	59Co	31P	32S  v_esc
1407.035175879397	7.248753819426896e+24	0.0	0.0	0.0	6.125196977415727e+24	0.0	0.0	0.0	0.0	0.0	4.0593021388790615e+23	2.1746261458280688e+22	4.3492522916561375e+22	6.523878437484206e+23  15.416011230432307
1442.211055276382	7.237014026756482e+24	0.0	0.0	0.0	6.115276852609227e+24	0.0	0.0	0.0	0.0	0.0	4.05272785498363e+23	2.1711042080269446e+22	4.342208416053889e+22	6.513312624080833e+23  15.403305121405177
1477.3869346733668	7.224173858346892e+24	0.0	0.0	0.0	6.104426910303124e+24	0.0	0.0	0.0	0.0	0.0	4.04553736067426e+23	2.167252157504068e+22	4.334504315008136e+22	6.501756472512203e+23  15.390459434667992
1512.5628140703518	7.210083495575827e+24	0.0	0.0	0.0	6.092520553761573e+24	0.0	0.0	0.0	0.0	0.0	4.037646757522463e+23	2.1630250486727482e+22	4.3260500973454965e+22	6.489075146018243e+23  15.37735926730822
1547.7386934673368	7.195993132804761e+24	0.0	0.0	0.0	6.080614197220023e+24	0.0	0.0	0.0	0.0	0.0	4.0297561543706664e+23	2.158797939841428e+22	4.317595879682856e+22	6.476393819524285e+23  15.36397827803156
1582.9145728643216	7.181902770033696e+24	0.0	0.0	0.0	6.068707840678473e+24	0.0	0.0	0.0	0.0	0.0	4.02186555121887e+23	2.154570831010109e+22	4.309141662020218e+22	6.463712493030327e+23  15.350146680950322
1618.0904522613066	7.167812407262631e+24	0.0	0.0	0.0	6.056801484136922e+24	0.0	0.0	0.0	0.0	0.0	4.013974948067073e+23	2.1503437221787892e+22	4.3006874443575785e+22	6.451031166536368e+23  15.336072709148745
1653.2663316582914	7.153722044491565e+24	0.0	0.0	0.0	6.044895127595373e+24	0.0	0.0	0.0	0.0	0.0	4.006084344915277e+23	2.1461166133474696e+22	4.292233226694939e+22	6.438349840042408e+23  15.32180795944658
1688.4422110552764	7.1396316817205e+24	0.0	0.0	0.0	6.032988771053823e+24	0.0	0.0	0.0	0.0	0.0	3.99819374176348e+23	2.1418895045161503e+22	4.283779009032301e+22	6.42566851354845e+23  15.30740581258513
1723.6180904522614	7.124502398541295e+24	0.0	0.0	0.0	6.020204526767394e+24	0.0	0.0	0.0	0.0	0.0	3.989721343183125e+23	2.1373507195623887e+22	4.274701439124777e+22	6.412052158687165e+23  15.292657543756281
1758.7939698492462	7.108595514512085e+24	0.0	0.0	0.0	6.006763209762711e+24	0.0	0.0	0.0	0.0	0.0	3.980813488126768e+23	2.1325786543536256e+22	4.265157308707251e+22	6.397735963060875e+23  15.277248662282148
1793.9698492462312	7.092688630482876e+24	0.0	0.0	0.0	5.99332189275803e+24	0.0	0.0	0.0	0.0	0.0	3.9719056330704106e+23	2.1278065891448625e+22	4.255613178289725e+22	6.383419767434588e+23  15.261852281078268
1829.145728643216	7.076781746453666e+24	0.0	0.0	0.0	5.979880575753348e+24	0.0	0.0	0.0	0.0	0.0	3.962997778014053e+23	2.1230345239361e+22	4.2460690478722e+22	6.3691035718083e+23  15.246027299108027
1864.321608040201	7.060874862424457e+24	0.0	0.0	0.0	5.966439258748666e+24	0.0	0.0	0.0	0.0	0.0	3.954089922957696e+23	2.118262458727337e+22	4.236524917454674e+22	6.354787376182012e+23  15.230256504005053
1899.497487437186	7.044967978395248e+24	0.0	0.0	0.0	5.952997941743984e+24	0.0	0.0	0.0	0.0	0.0	3.945182067901339e+23	2.1134903935185745e+22	4.226980787037149e+22	6.340471180555723e+23  15.2140987013727
1934.6733668341708	7.029061094366039e+24	0.0	0.0	0.0	5.939556624739303e+24	0.0	0.0	0.0	0.0	0.0	3.9362742128449816e+23	2.1087183283098118e+22	4.2174366566196235e+22	6.326154984929435e+23  15.197479805511659
1969.8492462311558	7.013108246951453e+24	0.0	0.0	0.0	5.926076468673978e+24	0.0	0.0	0.0	0.0	0.0	3.927340618292813e+23	2.103932474085436e+22	4.207864948170872e+22	6.311797422256308e+23  15.180586730757737
2005.0251256281408	6.997098179752048e+24	0.0	0.0	0.0	5.912547961890481e+24	0.0	0.0	0.0	0.0	0.0	3.9183749806611474e+23	2.0991294539256144e+22	4.198258907851229e+22	6.297388361776843e+23  15.163353394729528
2040.2010050251256	6.981088112552645e+24	0.0	0.0	0.0	5.899019455106985e+24	0.0	0.0	0.0	0.0	0.0	3.9094093430294815e+23	2.0943264337657938e+22	4.1886528675315876e+22	6.28297930129738e+23  15.14585153642004
2075.3768844221104	6.965078045353242e+24	0.0	0.0	0.0	5.885490948323489e+24	0.0	0.0	0.0	0.0	0.0	3.9004437053978156e+23	2.0895234136059727e+22	4.179046827211945e+22	6.268570240817918e+23  15.128160179838543
2110.5527638190956	6.949067978153839e+24	0.0	0.0	0.0	5.871962441539994e+24	0.0	0.0	0.0	0.0	0.0	3.89147806776615e+23	2.0847203934461516e+22	4.169440786892303e+22	6.254161180338455e+23  15.110145987898715
2145.7286432160804	6.931069448640681e+24	0.0	0.0	0.0	5.856753684101376e+24	0.0	0.0	0.0	0.0	0.0	3.8813988912387815e+23	2.0793208345922042e+22	4.1586416691844085e+22	6.237962503776612e+23  15.091839556039975
2180.904522613065	6.909934629520759e+24	0.0	0.0	0.0	5.838894761945041e+24	0.0	0.0	0.0	0.0	0.0	3.869563392531625e+23	2.0729803888562276e+22	4.145960777712455e+22	6.218941166568684e+23  15.073394825490734
2216.0804020100504	6.888799810400838e+24	0.0	0.0	0.0	5.821035839788708e+24	0.0	0.0	0.0	0.0	0.0	3.85772789382447e+23	2.0666399431202515e+22	4.133279886240503e+22	6.199919829360755e+23  15.054515276033099
2251.256281407035	6.867664991280917e+24	0.0	0.0	0.0	5.803176917632375e+24	0.0	0.0	0.0	0.0	0.0	3.8458923951173135e+23	2.060299497384275e+22	4.12059899476855e+22	6.180898492152824e+23  15.035340260386189
2286.43216080402	6.846530172160995e+24	0.0	0.0	0.0	5.78531799547604e+24	0.0	0.0	0.0	0.0	0.0	3.8340568964101573e+23	2.0539590516482983e+22	4.1079181032965966e+22	6.161877154944896e+23  15.015949108382657
