# Solar density profiles from model AGSS09ph [arXiv.0909.2668]
r_vec     rho_tot     1H     4He     3He     12C     13C     14N     15N     16O     17O     18O     20Ne     23Na     24Mg     27Al     28Si     P     32S     Cl     40Ar     K     40Ca     Sc     Ti     V     Cr     Mn     56Fe     Co     58Ni     v_esc     
0.1265  69.54  50.04304856436791  18.8054352816574  0.014520977608580378  0.0002815421621532799  6.962920056511833e-05  0.27450489498418235  0.00021328707080316934  0.4555684477228429  0.0  0.0013000428907691366  0.10124422659131424  0.002308283709431112  0.05596182841496811  0.004401574578411281  0.05258130965989774  0.00046048528413258693  0.02448914478221936  0.0006488020768858033  0.005275497643690683  0.00024217814899621018  0.005071094675035597  3.6738925827464487e-06  0.0002466596684363309  2.512576683292185e-05  0.0013105342732607633  0.0008535940554794916  0.10214128612267863  0.00033285025655405766  0.005633960413736299  1270.386338430224  
0.134  65.12  47.67552371436829  16.78935062502022  0.017207743745779443  0.00427085707903266  0.001224776877319087  0.250825599287084  0.0001995240078161047  0.4247114843804851  4.356191946101378e-05  0.001208237078815641  0.09399938557689026  0.0021613889062386486  0.05227834589192874  0.004106831570727175  0.049121586550839154  0.00043070578813132765  0.022827968646437255  0.000605604623647835  0.0049284141683998434  0.00022674953318956676  0.004737160611042744  3.432107093185695e-06  0.00023094139198095504  2.3422826486789753e-05  0.0012293750779627847  0.0007972844184580793  0.09542047077747363  0.0003114480504449638  0.005263164099822143  1262.1859997454876  
0.1415  60.94  45.2320666047547  15.089898457586418  0.020411207273248577  0.04096753199538865  0.01183491696378597  0.1781713331872624  0.0001861018189317231  0.396712929392192  0.00010240330033576356  0.0011267785815045836  0.08767649296096146  0.0020130423219367195  0.048865545747051736  0.003839687359715992  0.04586571243565969  0.00040166493634967746  0.021313738725678436  0.000565971855371  0.004601894293537978  0.00021121850297537697  0.004423109106704807  3.20468293075038e-06  0.00021513369381200202  2.1869615136171628e-05  0.0011428101316882523  0.0007495460747715858  0.08909211070281628  0.00029082389663038295  0.0049195400935081735  1253.7449412114586  
0.149  57.0  42.754867001462166  13.673008167721553  0.024233976847493774  0.1493477525687835  0.043154665195158134  0.0013270238464466733  0.0001734444968297987  0.3703376107926266  0.00013132014886533527  0.0010552943678029322  0.08171645051080278  0.001883223979064169  0.04559367375786718  0.003582581397143023  0.0427932894019207  0.0003747414516498565  0.019937276650979295  0.0005280615641760669  0.0042934768489209805  0.00019758523890970372  0.004131941040958201  2.9899163458460913e-06  0.00020070776109530267  2.040318344440962e-05  0.0010713514171962538  0.000694239320075699  0.0831215026869383  0.00027135046212087163  0.004584825675226039  1245.0853060435716  
0.1565  53.26  40.28407161847872  12.46259078961842  0.02871277340699027  0.2797313021570632  0.07930211767179049  0.0  0.0001620702780259854  0.34501240690088714  0.00014311448150594442  0.000977666930016396  0.07663491313163194  0.001756003249376892  0.04251165713385198  0.0033403679318367205  0.039951151328006744  0.0003504520343119179  0.018591159112011948  0.0004928801645328678  0.004008364702490396  0.00018424115919911274  0.0038526000035650296  2.7930104244646237e-06  0.0001876527689409835  1.9075534101687376e-05  0.0009990884553115202  0.0006525016245468203  0.07749504587940309  0.00025300393687994305  0.004285258474259543  1236.240590032782  
0.164  49.73  37.81167135378746  11.439686200569032  0.03395326661020892  0.3409724772502796  0.08344357286058667  0.0  0.00015085814351547812  0.3211572663456433  0.0001446713998262782  0.000915006979137284  0.07135959943517595  0.0016413716491279892  0.03965901090783462  0.0031172543783095454  0.03727560593546789  0.0003260103861335952  0.017321601741709724  0.0004592070116720184  0.0037344561985054752  0.00017165629675210941  0.0035946383484270947  2.602240563750487e-06  0.0001748389940050294  1.7773213148004774e-05  0.0009255035947948362  0.0006027036257235142  0.07272954353851377  0.00023570600792843517  0.003992734533062311  1227.2300684516194  
0.1715  46.39  35.38740739223111  10.547192091599776  0.04010876015954779  0.3219405051189658  0.04259024513738601  0.0  0.00014029163999677895  0.29920873813515664  0.00014082390401389065  0.0008508900541663474  0.06584211970795276  0.0015228150370423827  0.03691756621249653  0.002901871841680126  0.0347008405944502  0.00030398428881472174  0.016123499705666802  0.00042799014160640304  0.003481528072514654  0.0001597893809424736  0.0033462293427386812  2.422350619327141e-06  0.0001627524514146594  1.654477715514559e-05  0.0008665829440436697  0.0005661643708695891  0.06718409360709288  0.00021992529841406147  0.003716749472302778  1218.083185601131  
0.179  43.24  33.01757825364946  9.764095779355552  0.04738345540694967  0.2643712170681085  0.0  0.0  0.00013033838573326423  0.27803661047843425  0.00013398975420282042  0.000790547814214549  0.061690621251701536  0.0014161146127417597  0.03438753184239205  0.0027041122679228547  0.03227316543502361  0.0002827180786626876  0.014994894234354362  0.00039804198940841736  0.0032380173668763346  0.00014859886263535375  0.0031174955903918366  2.2527865820941486e-06  0.00015189566939750206  1.5386903117220407e-05  0.0008059680486165418  0.0005267134029283707  0.0630107724827759  0.0002045473867021186  0.003456627564527554  1208.817101866845  
0.1865  40.25  30.744230494887884  9.062957034803068  0.055865776681715676  0.20608409442517392  0.0  0.0  0.00012097589541308724  0.2581052715467681  0.00012647056714664082  0.0007337160681145073  0.057276256365630926  0.0013209352524535523  0.03195214901706792  0.0025073780881831476  0.02998683630708675  0.0002626867937878668  0.013984963665255945  0.000370365594669285  0.0030139472433671883  0.0001385925813982944  0.002891475076271388  2.098347038587574e-06  0.00014062347056215146  1.43490681897599e-05  0.0007542130550740461  0.0004895146144230217  0.058024647413866655  0.00019058692935552005  0.003216858132829753  1199.4576948715662  
0.194  37.44  28.56384154948095  8.440611342758475  0.06606504155190161  0.15966354869527724  0.0  0.0  0.00011270047771313359  0.23989611281017104  0.00011808175197130507  0.0006802949712562442  0.0531267330991523  0.0012262835244470837  0.029660657882104546  0.0023326203773480127  0.02788709263726622  0.00024435642309014765  0.012930461718853576  0.0003438067985571337  0.0027926075993800867  0.0001281353907116644  0.002689053113093841  1.947858007328168e-06  0.00013105122278343412  1.3269100265377118e-05  0.0006950704979682535  0.0004491021563026443  0.05437858572459388  0.0001764102942389475  0.002986146056190654  1190.0202264320062  
