# Density profiles from [arXiv.2104.14367]
r_vec	          rho_tot       	12C  v_esc
2.321701e-01	8.133454e-01	8.133454e-01  5638.499067246462
2.336875e-01	8.109215e-01	8.109215e-01  5635.666211836059
2.352050e-01	8.084911e-01	8.084911e-01  5632.822215160112
2.367224e-01	8.060539e-01	8.060539e-01  5629.961090552064
2.382399e-01	8.036098e-01	8.036098e-01  5627.088624771434
2.397573e-01	8.011584e-01	8.011584e-01  5624.196424402345
2.412748e-01	7.986996e-01	7.986996e-01  5621.291470040256
2.427922e-01	7.962330e-01	7.962330e-01  5618.374535772471
2.443097e-01	7.937586e-01	7.937586e-01  5615.442475260626
2.458271e-01	7.912759e-01	7.912759e-01  5612.492991061223
2.473446e-01	7.887849e-01	7.887849e-01  5609.537102420887
2.488620e-01	7.862853e-01	7.862853e-01  5606.55153673075
2.503795e-01	7.837768e-01	7.837768e-01  5603.569310120578
2.518969e-01	7.812591e-01	7.812591e-01  5600.563761069806
2.534144e-01	7.787322e-01	7.787322e-01  5597.546056659123
2.549318e-01	7.761957e-01	7.761957e-01  5594.5164356480545
2.564493e-01	7.736494e-01	7.736494e-01  5591.468494206474
2.579667e-01	7.710931e-01	7.710931e-01  5588.412627487432
2.594842e-01	7.685268e-01	7.685268e-01  5585.336590573161
2.610016e-01	7.659507e-01	7.659507e-01  5582.250718915
2.625191e-01	7.633649e-01	7.633649e-01  5579.150624131475
2.640365e-01	7.607697e-01	7.607697e-01  5576.036338233056
2.655540e-01	7.581653e-01	7.581653e-01  5572.913282169605
2.670714e-01	7.555518e-01	7.555518e-01  5569.770089093827
2.685889e-01	7.529293e-01	7.529293e-01  5566.617097147683
2.701063e-01	7.502982e-01	7.502982e-01  5563.448626170427
2.716238e-01	7.476586e-01	7.476586e-01  5560.2692645694
2.731412e-01	7.450106e-01	7.450106e-01  5557.076225688655
2.746587e-01	7.423545e-01	7.423545e-01  5553.87033395463
2.761761e-01	7.396905e-01	7.396905e-01  5550.65047578814
2.776936e-01	7.370187e-01	7.370187e-01  5547.4186016128815
2.792110e-01	7.343393e-01	7.343393e-01  5544.172960138842
2.807285e-01	7.316525e-01	7.316525e-01  5540.9146259345325
2.822459e-01	7.289585e-01	7.289585e-01  5537.648579609308
2.837634e-01	7.262575e-01	7.262575e-01  5534.364061840211
2.852808e-01	7.235497e-01	7.235497e-01  5531.066726152546
2.867983e-01	7.208352e-01	7.208352e-01  5527.759384430708
2.883157e-01	7.181143e-01	7.181143e-01  5524.439569266529
2.898332e-01	7.153871e-01	7.153871e-01  5521.107229604962
2.913506e-01	7.126538e-01	7.126538e-01  5517.758333294914
2.928681e-01	7.099146e-01	7.099146e-01  5514.451794890131
2.943855e-01	7.071697e-01	7.071697e-01  5511.036267907097
2.959030e-01	7.044193e-01	7.044193e-01  5507.655663982464
2.974204e-01	7.016636e-01	7.016636e-01  5504.263217280655
2.989379e-01	6.989027e-01	6.989027e-01  5500.858760671677
3.004553e-01	6.961368e-01	6.961368e-01  5497.440936094168
3.019728e-01	6.933662e-01	6.933662e-01  5494.012204905961
3.034902e-01	6.905910e-01	6.905910e-01  5490.573771714416
3.050077e-01	6.878114e-01	6.878114e-01  5487.122065486894
3.065251e-01	6.850275e-01	6.850275e-01  5483.6585263893385
3.080426e-01	6.822397e-01	6.822397e-01  5480.184789894935
3.095600e-01	6.794480e-01	6.794480e-01  5476.698967836204
3.110775e-01	6.766526e-01	6.766526e-01  5473.201984154447
3.125949e-01	6.738538e-01	6.738538e-01  5469.6966230156195
3.141124e-01	6.710517e-01	6.710517e-01  5466.175035165372
3.156298e-01	6.682465e-01	6.682465e-01  5462.647282895153
3.171473e-01	6.654384e-01	6.654384e-01  5459.104103321266
3.186647e-01	6.626276e-01	6.626276e-01  5455.556519425297
3.201822e-01	6.598143e-01	6.598143e-01  5451.988145323505
3.216996e-01	6.569986e-01	6.569986e-01  5448.418461146076
3.232171e-01	6.541807e-01	6.541807e-01  5444.831091146918
3.247345e-01	6.513609e-01	6.513609e-01  5441.239763707704
3.262520e-01	6.485393e-01	6.485393e-01  5437.631041391234
3.277694e-01	6.457161e-01	6.457161e-01  5434.008394589359
3.292869e-01	6.428915e-01	6.428915e-01  5430.391045163375
3.308043e-01	6.400656e-01	6.400656e-01  5426.757035706153
3.323218e-01	6.372388e-01	6.372388e-01  5423.108911167647
3.338392e-01	6.344110e-01	6.344110e-01  5419.452703335311
3.353567e-01	6.315827e-01	6.315827e-01  5415.788423194107
3.368741e-01	6.287538e-01	6.287538e-01  5412.115179656873
3.383916e-01	6.259246e-01	6.259246e-01  5408.424081837472
3.399090e-01	6.230954e-01	6.230954e-01  5404.729286787622
3.414265e-01	6.202662e-01	6.202662e-01  5401.023260855129
3.429439e-01	6.174373e-01	6.174373e-01  5397.307486595155
3.444614e-01	6.146089e-01	6.146089e-01  5393.585255187211
3.459788e-01	6.117811e-01	6.117811e-01  5389.8501054880335
3.474963e-01	6.089541e-01	6.089541e-01  5386.107190279361
3.490137e-01	6.061281e-01	6.061281e-01  5382.352646109164
3.505312e-01	6.033034e-01	6.033034e-01  5378.592353769092
3.520486e-01	6.004800e-01	6.004800e-01  5374.821475993716
3.535661e-01	5.976583e-01	5.976583e-01  5371.04147456643
3.550835e-01	5.948383e-01	5.948383e-01  5367.252475155815
3.566010e-01	5.920202e-01	5.920202e-01  5363.454834070311
3.581184e-01	5.892043e-01	5.892043e-01  5359.648701540216
3.596359e-01	5.863907e-01	5.863907e-01  5355.831356109772
3.611533e-01	5.835796e-01	5.835796e-01  5352.008341322607
3.626708e-01	5.807711e-01	5.807711e-01  5348.175931165855
3.641882e-01	5.779654e-01	5.779654e-01  5344.334092654862
3.657057e-01	5.751623e-01	5.751623e-01  5340.485200345392
3.672231e-01	5.723621e-01	5.723621e-01  5336.626636596126
3.687406e-01	5.695649e-01	5.695649e-01  5332.758960361483
3.702580e-01	5.667706e-01	5.667706e-01  5328.886382027852
3.717755e-01	5.639795e-01	5.639795e-01  5325.0036198322305
3.732929e-01	5.611915e-01	5.611915e-01  5321.112998430344
3.748104e-01	5.584067e-01	5.584067e-01  5317.215627169874
3.763278e-01	5.556253e-01	5.556253e-01  5313.308060565442
3.778453e-01	5.528473e-01	5.528473e-01  5309.39469745722
3.793628e-01	5.500728e-01	5.500728e-01  5305.475631498173
3.808802e-01	5.473018e-01	5.473018e-01  5301.5475439190195
3.823977e-01	5.445346e-01	5.445346e-01  5297.608794901107
3.839151e-01	5.417710e-01	5.417710e-01  5293.660934395844
3.854326e-01	5.390112e-01	5.390112e-01  5289.7085765539105
3.869500e-01	5.362554e-01	5.362554e-01  5285.754424522831
3.884675e-01	5.335035e-01	5.335035e-01  5281.781244655578
3.899849e-01	5.307556e-01	5.307556e-01  5277.811045361431
3.915024e-01	5.280119e-01	5.280119e-01  5273.828310769642
3.930198e-01	5.252724e-01	5.252724e-01  5269.84131031681
3.945373e-01	5.225372e-01	5.225372e-01  5265.8474415452965
3.960547e-01	5.198064e-01	5.198064e-01  5261.844696081976
3.975722e-01	5.170800e-01	5.170800e-01  5257.8369717023015
3.990896e-01	5.143582e-01	5.143582e-01  5253.820845174787
4.006071e-01	5.116410e-01	5.116410e-01  5249.7977537659
4.021245e-01	5.089284e-01	5.089284e-01  5245.767169060767
4.036420e-01	5.062207e-01	5.062207e-01  5241.737538455639
4.051594e-01	5.035178e-01	5.035178e-01  5237.684795188549
4.066769e-01	5.008198e-01	5.008198e-01  5233.646109136902
4.081943e-01	4.981269e-01	4.981269e-01  5229.593355006261
4.097118e-01	4.954390e-01	4.954390e-01  5225.532646133305
4.112292e-01	4.927563e-01	4.927563e-01  5221.466133511566
4.127467e-01	4.900789e-01	4.900789e-01  5217.393013936298
4.142641e-01	4.874069e-01	4.874069e-01  5213.321642139372
4.157816e-01	4.847402e-01	4.847402e-01  5209.233835792091
4.172990e-01	4.820790e-01	4.820790e-01  5205.13228822327
4.188165e-01	4.794235e-01	4.794235e-01  5201.048272963082
4.203339e-01	4.767735e-01	4.767735e-01  5196.94565325457
4.218514e-01	4.741294e-01	4.741294e-01  5192.831119675649
4.233688e-01	4.714910e-01	4.714910e-01  5188.72629575078
4.248863e-01	4.688586e-01	4.688586e-01  5184.605955170028
4.264037e-01	4.662321e-01	4.662321e-01  5180.488316108501
4.279212e-01	4.636117e-01	4.636117e-01  5176.356590523313
4.294386e-01	4.609974e-01	4.609974e-01  5172.225376949028
4.309561e-01	4.583893e-01	4.583893e-01  5168.074543023005
4.324735e-01	4.557876e-01	4.557876e-01  5163.939152630481
4.339910e-01	4.531922e-01	4.531922e-01  5159.791885343045
4.355084e-01	4.506033e-01	4.506033e-01  5155.637450824658
4.370259e-01	4.480210e-01	4.480210e-01  5151.477890393737
4.385433e-01	4.454452e-01	4.454452e-01  5147.314351662577
4.400608e-01	4.428762e-01	4.428762e-01  5143.147349823515
4.415782e-01	4.403140e-01	4.403140e-01  5138.975286972152
4.430957e-01	4.377586e-01	4.377586e-01  5134.797138984913
4.446131e-01	4.352102e-01	4.352102e-01  5130.61581096388
4.461306e-01	4.326688e-01	4.326688e-01  5126.363150517407
